ID,Pix1,Pix2,Pix3,Pix4,Pix5,Pix6,Pix7,Pix8,Pix9,Pix10,Pix11,Pix12,Pix13,Pix14,Pix15,Pix16,Pix17,Pix18,Pix19,Pix20,Pix21,Pix22,Pix23,Pix24,Pix25,Pix26,Pix27,Pix28,Pix29,Pix30,Pix31,Pix32,Pix33,Pix34,Pix35,Pix36,Pix37,Pix38,Pix39,Pix40,Pix41,Pix42,Pix43,Pix44,Pix45,Pix46,Pix47,Pix48,Pix49,Pix50,Pix51,Pix52,Pix53,Pix54,Pix55,Pix56,Pix57,Pix58,Pix59,Pix60,Pix61,Pix62,Pix63,Pix64,Pix65,Pix66,Pix67,Pix68,Pix69,Pix70,Pix71,Pix72,Pix73,Pix74,Pix75,Pix76,Pix77,Pix78,Pix79,Pix80,Pix81,Pix82,Pix83,Pix84,Pix85,Pix86,Pix87,Pix88,Pix89,Pix90,Pix91,Pix92,Pix93,Pix94,Pix95,Pix96,Pix97,Pix98,Pix99,Pix100,Pix101,Pix102,Pix103,Pix104,Pix105,Pix106,Pix107,Pix108,Pix109,Pix110,Pix111,Pix112,Pix113,Pix114,Pix115,Pix116,Pix117,Pix118,Pix119,Pix120
C2412304,0.9922333333333333,0.9922333333333333,0.9876294117647058,0.9944686274509803,0.9987278431372548,0.9916949019607844,0.988178431372549,0.9870062745098039,0.9853941176470586,0.8101980392156863,0.4505129411764706,0.1883678431372549,0.10614980392156861,0.2664886274509804,0.6500564705882352,0.966076862745098,0.4953988235294117,0.10078549019607842,0.10133450980392156,0.11674117647058822,0.14489686274509803,0.10137686274509804,0.10999725490196079,0.6275011764705882,0.7951541176470588,0.45430745098039216,0.7842352941176471,0.9833211764705881,0.9762529411764707,0.6613623529411765,0.11760392156862744,0.2627227450980392,0.9953627450980392,0.9958098039215686,0.9998999999999999,0.9967705882352941,0.9841196078431372,0.8550592156862745,0.16340156862745098,0.23171607843137257,0.9976647058823529,0.9976647058823529,0.9958098039215686,0.9912725490196079,0.9634686274509804,0.5522945098039215,0.10196156862745098,0.3792705882352941,0.9872490196078432,0.8900717647058822,0.40264941176470587,0.28982941176470584,0.16062392156862745,0.10167254901960783,0.2815435294117647,0.8581674509803922,0.9872490196078432,0.8547811764705882,0.1618807843137255,0.10161294117647059,0.10152823529411764,0.10167254901960783,0.15229607843137255,0.7295784313725491,0.9976647058823529,0.9953627450980392,0.9953627450980392,0.9756725490196079,0.85866,0.5633329411764706,0.11737529411764705,0.21983294117647056,0.9975980392156862,0.9975980392156862,0.9998999999999999,0.9967705882352941,0.9891039215686274,0.9625078431372548,0.36488117647058826,0.11443294117647058,0.9755635294117648,0.9975980392156862,0.9987278431372548,0.9981117647058823,0.9891039215686274,0.9217192156862744,0.28311019607843135,0.12212392156862743,0.3757749019607843,0.341783137254902,0.6478882352941177,0.7833411764705883,0.764273725490196,0.4260917647058824,0.10137019607843138,0.2540780392156862,0.43832705882352946,0.09775843137254901,0.10210196078431373,0.10222862745098038,0.10195058823529411,0.1017992156862745,0.22443647058823527,0.7967768627450981,0.9849470588235293,0.9066505882352941,0.719176862745098,0.6105737254901961,0.6946219607843137,0.8670023529411763,0.9846619607843137,0.9834898039215686,0.9953627450980392,0.9976647058823529,0.9990058823529412,0.9998999999999999,0.995253725490196,0.9963835294117647,0.9952113725490196,0.9952113725490196
C2412305,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9963835294117647,0.9905227450980393,0.9870062745098039,0.29800941176470586,0.29800941176470586,0.29800941176470586,0.29828745098039217,0.2974356862745098,0.2989035294117646,0.3137294117647059,0.6897329411764705,0.10195058823529411,0.10195058823529411,0.10195058823529411,0.10137686274509804,0.10140156862745099,0.10254901960784313,0.10183450980392157,0.5817035294117646,0.9998999999999999,0.9998999999999999,0.9990058823529412,0.9935745098039216,0.9218039215686273,0.2807725490196078,0.1455835294117647,0.8045698039215685,0.9998999999999999,0.9990058823529412,0.9976647058823529,0.9871823529411763,0.6746431372549019,0.1018486274509804,0.4152505882352941,0.9530560784313724,0.9998999999999999,0.9976647058823529,0.9913392156862745,0.9449682352941176,0.318238431372549,0.12277098039215685,0.7596980392156863,0.9717682352941177,0.9998999999999999,0.9908254901960785,0.9809235294117645,0.713492156862745,0.1178643137254902,0.34381764705882356,0.9487486274509804,0.9870062745098039,0.9990058823529412,0.9922333333333333,0.9438450980392157,0.35694313725490195,0.11246823529411763,0.6952486274509804,0.9905227450980393,0.9963835294117647,0.9976647058823529,0.9862882352941176,0.7525596078431371,0.13040901960784315,0.28333843137254905,0.9160976470588235,0.9905227450980393,0.9987278431372548,0.9899980392156863,0.9652568627450979,0.4002874509803921,0.11139450980392157,0.6196654901960784,0.976456862745098,0.9928670588235294,0.9998999999999999,0.9777941176470587,0.7933235294117648,0.14574196078431373,0.23029725490196076,0.8912721568627451,0.988178431372549,0.9987278431372548,0.9976647058823529,0.9498568627450981,0.4549725490196078,0.10207058823529411,0.5570713725490195,0.988178431372549,0.9952113725490196,0.9981117647058823,0.9493117647058823,0.8357984313725489,0.15657607843137253,0.1882941176470588,0.8555945098039216,0.9916949019607844,0.9987278431372548,0.9976647058823529,0.9689176470588236,0.9257250980392157,0.8034188235294116,0.8581992156862746,0.9858341176470587,0.9963835294117647,0.9990058823529412,0.9981117647058823,0.9976647058823529,0.9930607843137255,0.9958098039215686,0.9963835294117647,0.9963835294117647,0.9987278431372548,0.9998999999999999,0.9990058823529412,0.9990058823529412
C2412306,0.9890372549019608,0.9899313725490196,0.988970588235294,0.9944019607843138,0.9928670588235294,0.9905227450980393,0.9916949019607844,0.9928670588235294,0.9665980392156862,0.724826274509804,0.3584286274509804,0.1179556862745098,0.17314784313725493,0.47375490196078424,0.8618,0.9846619607843137,0.43905215686274507,0.10280941176470587,0.10222862745098038,0.17163764705882353,0.10847647058823529,0.10222862745098038,0.19958588235294117,0.8549713725490197,0.7148333333333333,0.48216039215686274,0.9069215686274509,0.9981117647058823,0.9529196078431371,0.44569764705882353,0.10605137254901961,0.5444909803921569,0.9953627450980392,0.9958098039215686,0.9998999999999999,0.9958764705882353,0.9795823529411763,0.6899227450980392,0.10151411764705882,0.4209105882352941,0.9998999999999999,0.9998999999999999,0.9990058823529412,0.9899313725490196,0.9685862745098041,0.5815800000000001,0.1029643137254902,0.5150188235294118,0.9975980392156862,0.9990058823529412,0.9976647058823529,0.9890372549019608,0.8272733333333333,0.17650235294117647,0.1497827450980392,0.8070831372549019,0.9967039215686275,0.9944686274509803,0.9876294117647058,0.9226556862745098,0.3134654901960784,0.10902588235294117,0.6001443137254902,0.9741125490196078,0.9944686274509803,0.9890372549019608,0.9212968627450979,0.3421525490196078,0.10124313725490196,0.5165850980392157,0.9708078431372549,0.9916949019607844,0.9872490196078432,0.9213145098039215,0.3454576470588235,0.10063411764705882,0.41559529411764706,0.9451474509803921,0.9928670588235294,0.9964258823529412,0.9269039215686274,0.3768270588235294,0.10082078431372549,0.4169611764705882,0.9494737254901962,0.9905227450980393,0.9963835294117647,0.9987278431372548,0.4120580392156862,0.10183098039215688,0.1299058823529412,0.48598313725490194,0.5630478431372549,0.5652231372549018,0.5642623529411764,0.6043682352941177,0.2031835294117647,0.09914196078431373,0.1026513725490196,0.10156352941176469,0.09864549019607842,0.10256666666666667,0.10104980392156862,0.13650941176470588,0.8358094117647059,0.792803137254902,0.7921623529411764,0.7918419607843138,0.7920776470588234,0.7926937254901961,0.7925847058823529,0.8151509803921569,0.9920999999999999,0.9944019607843138,0.9975980392156862,0.9959788235294117,0.9998999999999999,0.9998999999999999,0.9987278431372548,0.9987278431372548
C2412307,0.9862882352941176,0.9899313725490196,0.9903784313725491,0.9962568627450981,0.9905227450980393,0.9870062745098039,0.9952113725490196,0.9987278431372548,0.9665980392156862,0.6856568627450981,0.3452149019607843,0.11092274509803922,0.2743309803921568,0.6552588235294117,0.9708078431372549,0.9893505882352941,0.6186592156862745,0.10261607843137255,0.10252431372549017,0.1527321568627451,0.11139450980392157,0.09741333333333331,0.41576431372549016,0.9404164705882353,0.2594388235294117,0.11298941176470587,0.6474164705882354,0.9893505882352941,0.9371258823529411,0.33590470588235294,0.11724117647058822,0.6818835294117648,0.1449435294117647,0.273641568627451,0.9416313725490195,0.9943172549019609,0.9859078431372549,0.752830588235294,0.1285156862745098,0.4145611764705882,0.13379607843137256,0.3321811764705882,0.9569113725490196,0.995489411764706,0.9873156862745098,0.8469388235294117,0.15992745098039213,0.2746133333333333,0.19692901960784315,0.18823450980392156,0.8432396078431372,0.9952113725490196,0.9840529411764704,0.6660509803921568,0.10196156862745098,0.255816862745098,0.5047270588235294,0.10222901960784313,0.15398901960784311,0.42316666666666664,0.22649882352941175,0.10265803921568627,0.10249294117647059,0.26725999999999994,0.9578372549019607,0.6312074509803921,0.2790019607843137,0.10233764705882353,0.20495333333333332,0.42634509803921566,0.11025058823529413,0.34559882352941174,0.9899313725490196,0.9903784313725491,0.9912725490196079,0.9903784313725491,0.9863549019607843,0.6551811764705883,0.10123607843137256,0.5138890196078431,0.9935745098039216,0.9935745098039216,0.9944686274509803,0.9890372549019608,0.9424372549019608,0.3368654901960784,0.12201411764705881,0.756276862745098,0.8424615686274509,0.7084164705882353,0.7922290196078431,0.7113345098039217,0.2904098039215686,0.09963098039215686,0.45474039215686274,0.954355294117647,0.6426152941176471,0.10219333333333333,0.10137686274509804,0.1045905882352941,0.1133270588235294,0.5482572549019608,0.9569113725490196,0.988178431372549,0.902264705882353,0.6301443137254902,0.6002180392156863,0.7717643137254903,0.946489019607843,0.9916949019607844,0.9952113725490196,0.9963835294117647,0.9944686274509803,0.9953627450980392,0.9998999999999999,0.9987278431372548,0.9963835294117647,0.9963835294117647,0.9987278431372548,0.9971086274509804
C2412308,0.9935745098039216,0.9903784313725491,0.9890372549019608,0.9903784313725491,0.9987278431372548,0.9916949019607844,0.9916949019607844,0.9905227450980393,0.9867352941176468,0.8895580392156862,0.5398058823529411,0.21189490196078428,0.10889882352941176,0.32530627450980387,0.6669556862745099,0.9684635294117646,0.7947317647058824,0.14541098039215683,0.10222862745098038,0.10951490196078431,0.1681035294117647,0.10133450980392156,0.10179254901960783,0.5426011764705881,0.9318215686274509,0.4717203921568628,0.7067058823529411,0.9917372549019606,0.9908921568627451,0.776206274509804,0.15340862745098038,0.1926137254901961,0.9921666666666666,0.9953627450980392,0.9959788235294117,0.9981117647058823,0.9927470588235294,0.9435180392156861,0.3059545098039216,0.1367635294117647,0.9998999999999999,0.9998999999999999,0.9990058823529412,0.9958764705882353,0.9882098039215685,0.8810996078431372,0.19980470588235294,0.17929803921568627,0.9998999999999999,0.9998999999999999,0.9990058823529412,0.9903784313725491,0.9644294117647058,0.4939062745098039,0.10292235294117646,0.45490274509803924,0.9998999999999999,0.9981117647058823,0.9935745098039216,0.9862882352941176,0.6793737254901961,0.11810705882352941,0.2508392156862745,0.8755803921568627,0.9978337254901961,0.9958764705882353,0.9799627450980392,0.6782015686274511,0.11454156862745099,0.19982196078431372,0.8349678431372549,0.9834898039215686,0.9899313725490196,0.9862882352941176,0.6980854901960785,0.12929686274509805,0.14492549019607845,0.7570513725490197,0.9905227450980393,0.9928670588235294,0.9745313725490196,0.7165615686274509,0.1367521568627451,0.14563294117647058,0.7411376470588235,0.9870062745098039,0.9952113725490196,0.9987278431372548,0.7656043137254903,0.14552,0.1026513725490196,0.3138141176470588,0.5534772549019608,0.5650717647058824,0.5652654901960784,0.5644137254901961,0.5859729411764706,0.1029607843137255,0.10114117647058823,0.10160588235294118,0.10066941176470587,0.10256666666666667,0.10284470588235295,0.10171490196078431,0.9178403921568627,0.7915286274509804,0.7912682352941177,0.7918419607843138,0.7920776470588234,0.7920776470588234,0.7918419607843138,0.7918419607843138,0.9953627450980392,0.9958098039215686,0.9975980392156862,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999
C2412311,0.9958764705882353,0.9926803921568628,0.9876294117647058,0.9944686274509803,0.9952113725490196,0.988178431372549,0.9916949019607844,0.9916949019607844,0.9858411764705881,0.9105717647058823,0.5270392156862745,0.2041792156862745,0.14868431372549018,0.4356729411764706,0.8147458823529412,0.9870062745098039,0.8587517647058824,0.2107298039215686,0.10167254901960783,0.10034901960784313,0.09837411764705882,0.10218627450980393,0.12092666666666665,0.7203282352941176,0.5681623529411765,0.10125725490196077,0.4248035294117647,0.9487486274509804,0.9732258823529412,0.5928050980392157,0.10221490196078431,0.37325843137254905,0.5141176470588235,0.10877921568627452,0.6506301960784313,0.9834898039215686,0.9872490196078432,0.8080050980392156,0.1461819607843137,0.31152274509803923,0.7445729411764705,0.12979294117647058,0.19665019607843134,0.8206909803921568,0.9135564705882353,0.3562356862745098,0.10462588235294118,0.5850686274509804,0.9531196078431373,0.6124847058823529,0.10137686274509804,0.10066941176470587,0.10323176470588236,0.10163019607843136,0.49235058823529415,0.94962431372549,0.9393078431372549,0.4978098039215686,0.10137686274509804,0.10252431372549017,0.10323176470588236,0.10163019607843136,0.3794039215686274,0.9103215686274508,0.5495705882352941,0.10193333333333335,0.33781254901960783,0.8952600000000001,0.8438270588235295,0.41897450980392154,0.10098313725490196,0.3601788235294118,0.2590588235294118,0.14860039215686274,0.8275301960784314,0.9811454901960783,0.9918529411764705,0.921761568627451,0.2709596078431373,0.14587999999999998,0.25760862745098034,0.1682062745098039,0.854573725490196,0.9834898039215686,0.9936411764705881,0.9447325490196078,0.30738,0.1383156862745098,0.4460607843137255,0.10250705882352942,0.2659325490196079,0.6265960784313724,0.6660929411764706,0.3701921568627451,0.1015392156862745,0.27065686274509804,0.8443835294117646,0.2442921568627451,0.10210196078431373,0.10195058823529411,0.10308039215686274,0.10572039215686274,0.16958235294117646,0.7407929411764705,0.9849470588235293,0.9890372549019608,0.8896847058823529,0.6934745098039217,0.654558431372549,0.8462666666666667,0.9858341176470587,0.9870062745098039,0.9930607843137255,0.9953627450980392,0.9930607843137255,0.9990058823529412,0.9998999999999999,0.9987278431372548,0.9963835294117647,0.9952113725490196
C2412312,0.9922333333333333,0.9922333333333333,0.9903784313725491,0.9958098039215686,0.9928670588235294,0.988178431372549,0.9928670588235294,0.9952113725490196,0.9817509803921567,0.7959635294117647,0.3741133333333333,0.10866313725490195,0.15948705882352943,0.49728196078431375,0.9063407843137254,0.9870062745098039,0.8195399999999998,0.17151803921568626,0.10167254901960783,0.11356274509803922,0.10355215686274509,0.10222862745098038,0.3485482352941176,0.9322960784313724,0.46601137254901964,0.1065372549019608,0.5512843137254901,0.97198,0.9253623529411765,0.36448274509803924,0.11417176470588235,0.6864207843137254,0.24023098039215687,0.18100823529411766,0.8563019607843138,0.9928670588235294,0.9859078431372549,0.709655294117647,0.1108913725490196,0.4397917647058823,0.1522721568627451,0.2731278431372549,0.9293541176470588,0.9952113725490196,0.9873156862745098,0.8342811764705883,0.14614000000000002,0.2866972549019608,0.13765019607843137,0.33288156862745105,0.9545670588235293,0.995489411764706,0.9905117647058822,0.8783082352941176,0.180941568627451,0.24384274509803922,0.13065960784313727,0.3522094117647059,0.961515294117647,0.9945952941176471,0.9905117647058822,0.8783082352941176,0.1876541176470588,0.23122745098039216,0.14630235294117647,0.3179643137254902,0.9476188235294116,0.9943172549019609,0.9896176470588235,0.8695717647058824,0.17277882352941176,0.2538356862745098,0.19521843137254902,0.23664745098039217,0.9088541176470588,0.9916949019607844,0.9873156862745098,0.7911482352941176,0.12855803921568626,0.33343098039215685,0.3555533333333334,0.11787137254901961,0.7217674509803922,0.9870062745098039,0.9758058823529412,0.5399572549019608,0.10164117647058825,0.5335796078431372,0.6896274509803922,0.11097215686274507,0.20040235294117645,0.6157690196078431,0.5331356862745098,0.1298705882352941,0.1497827450980392,0.8116027450980392,0.9589313725490196,0.48994274509803915,0.10323176470588236,0.10256666666666667,0.10143686274509803,0.11422117647058824,0.627103137254902,0.9776290196078431,0.9891039215686274,0.9876960784313726,0.8555239215686273,0.6497854901960785,0.7063188235294117,0.9315717647058823,0.9893505882352941,0.988178431372549,0.9976647058823529,0.9976647058823529,0.9990058823529412,0.9975980392156862,0.9975980392156862,0.9987278431372548,0.9963835294117647,0.9963835294117647
C2412313,0.9862882352941176,0.9899313725490196,0.9903784313725491,0.9962568627450981,0.9905227450980393,0.9870062745098039,0.9952113725490196,0.9987278431372548,0.9665980392156862,0.6856568627450981,0.3452149019607843,0.11092274509803922,0.2743309803921568,0.6552588235294117,0.9708078431372549,0.9893505882352941,0.6186592156862745,0.10261607843137255,0.10252431372549017,0.1527321568627451,0.11139450980392157,0.09741333333333331,0.41576431372549016,0.9404164705882353,0.2594388235294117,0.11298941176470587,0.6474164705882354,0.9893505882352941,0.9371258823529411,0.33590470588235294,0.11724117647058822,0.6818835294117648,0.1449435294117647,0.273641568627451,0.9416313725490195,0.9943172549019609,0.9859078431372549,0.752830588235294,0.1285156862745098,0.4145611764705882,0.13379607843137256,0.3321811764705882,0.9569113725490196,0.995489411764706,0.9873156862745098,0.8469388235294117,0.15992745098039213,0.2746133333333333,0.19692901960784315,0.18823450980392156,0.8432396078431372,0.9952113725490196,0.9840529411764704,0.6660509803921568,0.10196156862745098,0.255816862745098,0.5047270588235294,0.10222901960784313,0.15398901960784311,0.42316666666666664,0.22649882352941175,0.10265803921568627,0.10249294117647059,0.26725999999999994,0.9578372549019607,0.6312074509803921,0.2790019607843137,0.10233764705882353,0.20495333333333332,0.42634509803921566,0.11025058823529413,0.34559882352941174,0.9899313725490196,0.9903784313725491,0.9912725490196079,0.9903784313725491,0.9863549019607843,0.6551811764705883,0.10123607843137256,0.5138890196078431,0.9935745098039216,0.9935745098039216,0.9944686274509803,0.9890372549019608,0.9424372549019608,0.3368654901960784,0.12201411764705881,0.756276862745098,0.8424615686274509,0.7084164705882353,0.7922290196078431,0.7113345098039217,0.2904098039215686,0.09963098039215686,0.45474039215686274,0.954355294117647,0.6426152941176471,0.10219333333333333,0.10137686274509804,0.1045905882352941,0.1133270588235294,0.5482572549019608,0.9569113725490196,0.988178431372549,0.902264705882353,0.6301443137254902,0.6002180392156863,0.7717643137254903,0.946489019607843,0.9916949019607844,0.9952113725490196,0.9963835294117647,0.9944686274509803,0.9953627450980392,0.9998999999999999,0.9987278431372548,0.9963835294117647,0.9963835294117647,0.9987278431372548,0.9971086274509804
C2412314,0.9953627450980392,0.9935745098039216,0.9867352941176468,0.9903784313725491,0.9987278431372548,0.9916949019607844,0.9905227450980393,0.9905227450980393,0.9858411764705881,0.9592027450980392,0.6308870588235295,0.2796847058823529,0.11735725490196079,0.35756980392156856,0.7142454901960783,0.9858341176470587,0.9342568627450979,0.3638913725490196,0.10167254901960783,0.10147882352941176,0.10133450980392156,0.1010564705882353,0.1068435294117647,0.548546274509804,0.7524819607843137,0.11858549019607842,0.25894196078431375,0.8702160784313726,0.9931274509803921,0.749652156862745,0.1437956862745098,0.2108113725490196,0.7090709803921569,0.11018705882352942,0.4471760784313726,0.9683788235294116,0.994535294117647,0.9214411764705882,0.25928039215686277,0.17337019607843138,0.879258431372549,0.20429529411764705,0.11799098039215686,0.6813592156862746,0.9644227450980392,0.5319635294117647,0.1006627450980392,0.39510666666666666,0.9732568627450979,0.7655796078431373,0.14459450980392158,0.10309843137254901,0.10254901960784313,0.10252431372549017,0.3260843137254902,0.9091070588235294,0.9608529411764706,0.6624992156862745,0.12890980392156862,0.10260901960784315,0.10137686274509804,0.10252431372549017,0.23572823529411763,0.8204482352941176,0.7334254901960784,0.13230627450980392,0.2033627450980392,0.7971639215686275,0.9101,0.5437270588235295,0.11829372549019608,0.21318705882352937,0.4499709803921568,0.11359450980392156,0.6655898039215685,0.9788011764705882,0.9967705882352941,0.9684529411764705,0.4554129411764706,0.10911058823529411,0.443258431372549,0.11359450980392156,0.6952133333333333,0.9799733333333333,0.9976647058823529,0.9743980392156862,0.5142305882352941,0.10938862745098038,0.6433650980392157,0.09903960784313727,0.18269372549019605,0.5609992156862745,0.7024043137254901,0.46430039215686275,0.10991999999999999,0.14861803921568625,0.9341901960784312,0.3922337254901961,0.10323176470588236,0.10167254901960783,0.10167254901960783,0.10066941176470587,0.11204588235294118,0.5792819607843136,0.9872490196078432,0.988143137254902,0.9339474509803921,0.7444498039215686,0.6358466666666668,0.7913701960784313,0.9742819607843136,0.9870062745098039,0.9953627450980392,0.9976647058823529,0.9981117647058823,0.9990058823529412,0.9998999999999999,0.9987278431372548,0.9963835294117647,0.9952113725490196
C2412315,0.9872490196078432,0.9899313725490196,0.9920999999999999,0.9964258823529412,0.988178431372549,0.9870062745098039,0.9963835294117647,0.9998999999999999,0.8221305882352941,0.44077333333333335,0.15414039215686273,0.13672745098039216,0.39141019607843136,0.7726160784313725,0.9916949019607844,0.9916949019607844,0.10066941176470587,0.10252431372549017,0.13813529411764702,0.14540392156862744,0.10137686274509804,0.11635411764705882,0.718589019607843,0.9741125490196078,0.43846431372549016,0.8241898039215686,0.9998999999999999,0.9843666666666666,0.6310384313725491,0.10254901960784313,0.3452007843137255,0.9345133333333333,0.9987278431372548,0.9987278431372548,0.9998999999999999,0.9885235294117646,0.8555733333333333,0.16139137254901958,0.2594243137254902,0.9090223529411765,0.9975980392156862,0.9990058823529412,0.9944686274509803,0.9890372549019608,0.7482937254901961,0.12929686274509805,0.31811529411764705,0.9368576470588234,0.9998999999999999,0.9944686274509803,0.9868019607843137,0.929156862745098,0.3135498039215686,0.1092792156862745,0.6420627450980392,0.9752847058823529,0.9944686274509803,0.9903784313725491,0.9639156862745097,0.49795411764705877,0.10256666666666667,0.4162360784313725,0.955696862745098,0.9846619607843137,0.9868019607843137,0.9652568627450979,0.5013192156862745,0.10222862745098038,0.34388431372549016,0.9289913725490194,0.9916949019607844,0.9963835294117647,0.9634686274509804,0.5254023529411764,0.09830745098039215,0.24835058823529413,0.8784631372549019,0.9834898039215686,0.9928670588235294,0.9793999999999999,0.5520411764705883,0.09873686274509805,0.2475831372549019,0.8616486274509804,0.9905227450980393,0.9928670588235294,0.9952113725490196,0.9771823529411765,0.10140156862745099,0.10529803921568627,0.41288862745098037,0.5643643137254902,0.5644980392156862,0.5682501960784314,0.5748113725490196,0.8367627450980392,0.10137686274509804,0.10082078431372549,0.10066941176470587,0.10269333333333333,0.10167254901960783,0.1017992156862745,0.10501294117647059,0.6381415686274509,0.7920776470588234,0.7920776470588234,0.7918419607843138,0.7918419607843138,0.7920776470588234,0.7907964705882353,0.8029823529411764,0.9211913725490197,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9987278431372548,0.9963835294117647,0.9952113725490196
